"mes","nome","total_focos"
1,"ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO",72
1,"ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PRETO",20
1,"ÁREA DE PROTEçãO AMBIENTAL FOZ DO RIO SANTA TEREZA",2
1,"ÁREA DE PROTEçãO AMBIENTAL JALAPãO",2
1,"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO",1
1,"PARQUE ESTADUAL DO JALAPãO",1
2,"ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PRETO",11
2,"ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO",7
2,"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO",1
2,"ÁREA DE PROTEçãO AMBIENTAL JALAPãO",1
3,"ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO",47
3,"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO",4
3,"ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PRETO",3
3,"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO LAJEADO",3
3,"ÁREA DE PROTEçãO AMBIENTAL FOZ DO RIO SANTA TEREZA",1
3,"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PALMAS",1
4,"ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PRETO",40
4,"PARQUE ESTADUAL DO JALAPãO",39
4,"ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO",37
4,"ÁREA DE PROTEçãO AMBIENTAL JALAPãO",37
4,"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO",4
4,"ÁREA DE PROTEçãO AMBIENTAL FOZ DO RIO SANTA TEREZA",1
5,"ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO",326
5,"ÁREA DE PROTEçãO AMBIENTAL JALAPãO",122
5,"PARQUE ESTADUAL DO JALAPãO",82
5,"ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PRETO",57
5,"ÁREA DE PROTEçãO AMBIENTAL FOZ DO RIO SANTA TEREZA",14
5,"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO LAJEADO",8
5,"MONUMENTO NATURAL DAS ÁRVORES FOSSILIZADAS",6
5,"PARQUE ESTADUAL DO CANTãO",3
5,"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO",2
5,"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PEIXE/ANGICAL",2
6,"ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO",520
6,"ÁREA DE PROTEçãO AMBIENTAL JALAPãO",364
6,"PARQUE ESTADUAL DO JALAPãO",175
6,"ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PRETO",141
6,"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO",50
6,"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO LAJEADO",28
6,"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PEIXE/ANGICAL",16
6,"PARQUE ESTADUAL DO CANTãO",7
6,"ÁREA DE PROTEçãO AMBIENTAL FOZ DO RIO SANTA TEREZA",5
6,"ÁREA DE PROTEÇÃO AMBIENTAL DAS NASCENTES DE ARAGUAINA",4
6,"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PALMAS",4
6,"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SANTA ISABEL",1
6,"PARQUE ESTADUAL DO ARAGUAIAA",1
6,"PARQUE ESTADUAL DO LAJEADO",1
7,"ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO",1163
7,"ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PRETO",404
7,"ÁREA DE PROTEçãO AMBIENTAL JALAPãO",401
7,"PARQUE ESTADUAL DO JALAPãO",183
7,"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PEIXE/ANGICAL",137
7,"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO",109
7,"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO LAJEADO",102
7,"PARQUE ESTADUAL DO ARAGUAIAA",62
7,"PARQUE ESTADUAL DO CANTãO",19
7,"ÁREA DE PROTEçãO AMBIENTAL FOZ DO RIO SANTA TEREZA",13
7,"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PALMAS",11
7,"ÁREA DE PROTEÇÃO AMBIENTAL DAS NASCENTES DE ARAGUAINA",8
8,"ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO",2083
8,"ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PRETO",1592
8,"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO",579
8,"PARQUE ESTADUAL DO ARAGUAIAA",570
8,"ÁREA DE PROTEçãO AMBIENTAL JALAPãO",339
8,"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO LAJEADO",201
8,"PARQUE ESTADUAL DO JALAPãO",172
8,"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PEIXE/ANGICAL",154
8,"PARQUE ESTADUAL DO CANTãO",128
8,"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PALMAS",52
8,"ÁREA DE PROTEÇÃO AMBIENTAL DAS NASCENTES DE ARAGUAINA",43
8,"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SANTA ISABEL",21
8,"ÁREA DE PROTEçãO AMBIENTAL FOZ DO RIO SANTA TEREZA",19
8,"MONUMENTO NATURAL DAS ÁRVORES FOSSILIZADAS",1
8,"PARQUE ESTADUAL DO LAJEADO",1
9,"ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO",6354
9,"PARQUE ESTADUAL DO ARAGUAIAA",4305
9,"ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PRETO",1544
9,"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO LAJEADO",1119
9,"PARQUE ESTADUAL DO CANTãO",863
9,"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PEIXE/ANGICAL",748
9,"ÁREA DE PROTEçãO AMBIENTAL JALAPãO",582
9,"PARQUE ESTADUAL DO JALAPãO",341
9,"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PALMAS",270
9,"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO",258
9,"ÁREA DE PROTEÇÃO AMBIENTAL DAS NASCENTES DE ARAGUAINA",59
9,"ÁREA DE PROTEçãO AMBIENTAL FOZ DO RIO SANTA TEREZA",24
9,"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SANTA ISABEL",24
9,"MONUMENTO NATURAL DAS ÁRVORES FOSSILIZADAS",13
9,"PARQUE ESTADUAL DO LAJEADO",10
10,"ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PRETO",3297
10,"ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO",3015
10,"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO",1324
10,"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PEIXE/ANGICAL",568
10,"PARQUE ESTADUAL DO ARAGUAIAA",530
10,"ÁREA DE PROTEçãO AMBIENTAL JALAPãO",337
10,"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO LAJEADO",132
10,"PARQUE ESTADUAL DO JALAPãO",102
10,"MONUMENTO NATURAL DAS ÁRVORES FOSSILIZADAS",82
10,"ÁREA DE PROTEçãO AMBIENTAL FOZ DO RIO SANTA TEREZA",28
10,"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SÃO SALVADOR DO TOCANTINS, PARANÃ E PALMEIRÓPOLIS",18
10,"PARQUE ESTADUAL DO CANTãO",13
10,"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PALMAS",12
10,"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SANTA ISABEL",11
10,"PARQUE ESTADUAL DO LAJEADO",7
10,"ÁREA DE PROTEÇÃO AMBIENTAL DAS NASCENTES DE ARAGUAINA",3
11,"ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO",488
11,"ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PRETO",191
11,"ÁREA DE PROTEçãO AMBIENTAL JALAPãO",33
11,"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO",28
11,"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO LAJEADO",22
