coverage;latitude;longitude;timeline;ndvi;evi;nir;red
MOD13Q1-1;-10.210018188730544;-56.083063959709825;02-18;7481.0;4894.0;3304.0;476.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;03-06;7944.0;5368.0;3510.0;402.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;03-22;7537.0;3842.0;2350.0;330.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;04-07;8187.0;5798.0;3732.0;372.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;04-23;8423.0;5414.0;3226.0;276.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;05-09;8334.0;5429.0;3127.0;284.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;05-25;7779.0;4819.0;3027.0;378.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;06-10;7184.0;4413.0;2875.0;471.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;06-26;7134.0;4541.0;2793.0;467.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;07-12;6829.0;4383.0;2978.0;561.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;07-28;6141.0;3875.0;3045.0;728.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;08-13;5618.0;3715.0;3133.0;879.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;08-29;6022.0;4232.0;3335.0;828.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;09-14;5673.0;3592.0;2927.0;808.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;09-30;5806.0;2983.0;2307.0;612.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;10-16;7780.0;5365.0;3412.0;426.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;11-01;8743.0;6879.0;4385.0;294.0
